"","V1","V2","V3","V4","V5","V6"
"97","MID","APXMIDP",20180108,8,40.84,319.25
"107","MID","APXMIDP",20180108,9,40.01,426.75
"117","MID","APXMIDP",20180108,10,40.07,411.65
"127","MID","APXMIDP",20180108,11,38.03,266
"137","MID","APXMIDP",20180108,12,39.33,410.9
"147","MID","APXMIDP",20180108,13,44.18,462.5
"157","MID","APXMIDP",20180108,14,44.16,624.4
"167","MID","APXMIDP",20180108,15,49.06,1087.7
"177","MID","APXMIDP",20180108,16,55.14,1093.45
"187","MID","APXMIDP",20180108,17,52.3,840.05
"197","MID","APXMIDP",20180108,18,51.43,1013.55
"207","MID","APXMIDP",20180108,19,59.78,968.75
"2111","MID","APXMIDP",20180108,20,60.63,799.9
"228","MID","APXMIDP",20180108,21,62.02,813.95
"237","MID","APXMIDP",20180108,22,64.44,973.7
"247","MID","APXMIDP",20180108,23,57.45,1006.2
"257","MID","APXMIDP",20180108,24,54.87,949.8
"267","MID","APXMIDP",20180108,25,54.52,1042.65
"277","MID","APXMIDP",20180108,26,55.01,1137.6
"287","MID","APXMIDP",20180108,27,57.66,1179.55
"297","MID","APXMIDP",20180108,28,59.28,1236.2
"307","MID","APXMIDP",20180108,29,59.13,1186.8
"3111","MID","APXMIDP",20180108,30,62.63,1258.85
"328","MID","APXMIDP",20180108,31,67.49,1328.9
"337","MID","APXMIDP",20180108,32,66.52,1366.1
"347","MID","APXMIDP",20180108,33,71.73,1005.5
"357","MID","APXMIDP",20180108,34,82.27,1143.45
"367","MID","APXMIDP",20180108,35,74.88,1421.3
"377","MID","APXMIDP",20180108,36,67.24,1424.45
"387","MID","APXMIDP",20180108,37,65.97,1180.1
"397","MID","APXMIDP",20180108,38,63.27,1431.7
"407","MID","APXMIDP",20180108,39,56.22,1147.65
"4111","MID","APXMIDP",20180108,40,56.94,1115.25
"428","MID","APXMIDP",20180108,41,55.89,1246.2
"437","MID","APXMIDP",20180108,42,53.14,1373.2
"447","MID","APXMIDP",20180108,43,54.47,714.45
"457","MID","APXMIDP",20180108,44,51.11,721.95
"467","MID","APXMIDP",20180108,45,47.2,1072.45
"477","MID","APXMIDP",20180108,46,46.1,1614.65
"487","MID","APXMIDP",20180108,47,43.5,1000.05
"496","MID","APXMIDP",20180108,48,42.43,660.25
